ReducedComplementCBA:
Count: 261
feasibleCBA | complement | reduced complement
1100100010000111000100000001011 | 0011011101111000111011111110100 | 0011011101111000111011111110100
1100100010000111100100000001011 | 0011011101111000011011111110100 | 0011011101111000001011011010100
1100110000000011001100000001011 | 0011001111111100110011111110100 | 0011001111111100110010111110000
1000010000000010101100000001011 | 0111101111111101010011111110100 | 0111101111111101010011111110100
1000010000000011101100000001011 | 0111101111111100010011111110100 | 0111101111111100000010111110000
0011011101111000111011100001011 | 1100100010000111000100011110100 | 1100100010000111000100001110100
1110000001000111111001001001011 | 0001111110111000000110110110100 | 0001111110111000000110110110100
1101000100010001101101101001011 | 0010111011101110010010010110100 | 0010111011101110010010010110100
0000010101101011111100011001011 | 1111101010010100000011100110100 | 1111101010010100000011100110000
0000110110111110010100111001011 | 1111001001000001101011000110100 | 1111001001000001101011000110100
0011011101111000001101111101011 | 1100100010000111110010000010100 | 1100100010000111110010000010100
1101000110010001100000000011011 | 0010111001101110011111111100100 | 0010111001101110010110111100100
1101000110010101101000000011011 | 0010111001101010010111111100100 | 0010111001101010010110111100100
0000010111101100111001110011011 | 1111101000010011000110001100100 | 1111101000010011000110001100100
0010110111100000001101111011011 | 1101001000011111110010000100100 | 1101001000011111110010000100100
0000010111101100000110111111011 | 1111101000010011111001000000100 | 1111101000010011110000000000100
1111100010000100001000111100111 | 0000011101111011110111000011000 | 0000011101111011110111000011000
0010111000100110110010111100111 | 1101000111011001001101000011000 | 1101000111011000001101000010000
1100100010000110100011011010111 | 0011011101111001011100100101000 | 0011011101111001011100100101000
1111100010000100000101010110111 | 0000011101111011111010101001000 | 0000011101111011111010101001000
1000010000000010111101010110111 | 0111101111111101000010101001000 | 0111101111111100000010101001000
1101000100010000111010000001111 | 0010111011101111000101111110000 | 0010111011101111000101111110000
1111100010000100001110000011111 | 0000011101111011110001111100000 | 0000011101111011110001111100000
0000010111101101011000010111111 | 1111101000010010100111101000000 | 1111101000010010100111101000000
0010111001101010110110010111111 | 1101000110010101001001101000000 | 1101000110010100001001101000000
0010111000100011110111010111111 | 1101000111011100001000101000000 | 1101000111011100001000101000000
0000000011110010011101110111111 | 1111111100001101100010001000000 | 1111111100001101100010001000000
0000011100110000000110111111111 | 1111100011001111111001000000000 | 1111100011001110111001000000000
